CRIMINAL DAMAGE,2013-2018,175217
ROBBERY,2013-2018,64778
CRIMINAL SEXUAL ASSAULT,2013-2018,863
PUBLIC PEACE VIOLATION,2013-2018,12937
OTHER OFFENSE,2013-2018,104476
STALKING,2013-2018,1026
THEFT,2013-2018,381747
ARSON,2013-2018,2547
NARCOTICS,2013-2018,125792
KIDNAPPING,2013-2018,1216
CRIMINAL TRESPASS,2013-2018,42105
INTIMIDATION,2013-2018,827
OFFENSE INVOLVING CHILDREN,2013-2018,14810
BURGLARY,2013-2018,84685
CRIM SEXUAL ASSAULT,2013-2018,8329
DECEPTIVE PRACTICE,2013-2018,105201
ASSAULT,2013-2018,110377
MOTOR VEHICLE THEFT,2013-2018,65212
BATTERY,2013-2018,301752
SEX OFFENSE,2013-2018,6496
HUMAN TRAFFICKING,2013-2018,49
HOMICIDE,2013-2018,3429
PROSTITUTION,2013-2018,6852
GAMBLING,2013-2018,1880
OBSCENITY,2013-2018,338
INTERFERENCE WITH PUBLIC OFFICER,2013-2018,7318
LIQUOR LAW VIOLATION,2013-2018,1840
WEAPONS VIOLATION,2013-2018,23314
OTHER NARCOTIC VIOLATION,2013-2018,36
CONCEALED CARRY LICENSE VIOLATION,2013-2018,303
NON-CRIMINAL,2013-2018,158
NON - CRIMINAL,2013-2018,38
PUBLIC INDECENCY,2013-2018,68
NON-CRIMINAL (SUBJECT SPECIFIED),2013-2018,7
